date,yr_nbr,qtr_nbr,prd,wk_nbr,wk_in_yr_nbr,mdip_dm,mdip_inst,mdip_nsp,mdip_auddig,mdip_audtr,mdip_vidtr,mdip_viddig,mdip_so,mdip_on,mdip_em,mdip_sms,mdip_aff,mdip_sem,mdsp_dm,mdsp_inst,mdsp_nsp,mdsp_auddig,mdsp_audtr,mdsp_vidtr,mdsp_viddig,mdsp_so,mdsp_on,mdsp_sem,sales,me_ics_all,me_gas_dpg,st_ct,mrkdn_valadd_edw,mrkdn_pdm,va_pub_0.15,va_pub_0.2,va_pub_0.25,va_pub_0.3,hldy_Black Friday,hldy_Christmas Day,hldy_Christmas Eve,hldy_Columbus Day,hldy_Cyber Monday,hldy_Day after Christmas,hldy_Easter,hldy_Father's Day,hldy_Green Monday,hldy_July 4th,hldy_Labor Day,hldy_MLK,hldy_Memorial Day,hldy_Mother's Day,hldy_NYE,hldy_New Year's Day,hldy_Pre Thanksgiving,hldy_Presidents Day,hldy_Prime Day,hldy_Thanksgiving,hldy_Valentine's Day,hldy_Veterans Day,seas_prd_1,seas_prd_2,seas_prd_3,seas_prd_4,seas_prd_5,seas_prd_6,seas_prd_7,seas_prd_8,seas_prd_9,seas_prd_12,seas_week_40,seas_week_41,seas_week_42,seas_week_43,seas_week_44,seas_week_45,seas_week_46,seas_week_47,seas_week_48
03/08/2014,2014,3,7,1,27,4863885,29087520,2421933,692315,37778097,10038746,2111112,0,3271007,1514755,27281,197828,83054,678410.26,129759.66,507635.16,2700.69,254134.14,216725.59,45397.9,0,61364.75,355954.51,72051457.64,82.5,3.595,716.2857143,0,0.368029183,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10/08/2014,2014,3,7,2,28,20887502,8345120,3984494,475810,12063657,9847977,587184,0,4260715,2234569,27531,123688,83124,661097.71,70355.33,625719.37,5039.35,106602.98,108919.26,2903.36,0,132643.9,336306.72,78794770.54,82.5,3.582,716.4285714,0,0.360910738,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17/08/2014,2014,3,7,3,29,11097724,17276800,1846832,784732,5770115,7235336,1015658,0,4405992,1616990,55267,186781,79768,1874338.43,107720.37,277532.61,2610.93,59011.42,74032.19,8110.48,0,76741.27,344787.96,70071185.56,82.5,3.549,717,0,0.344831646,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24/08/2014,2014,3,7,4,30,1023446,18468480,2394834,1032301,12174000,8625122,2149160,0,6638320,1897998,32470,122389,138936,306583.37,141708.61,186028.61,6032.91,178010.46,110995.66,6516.22,0,193043.55,365495.11,68642464.59,82.5,3.532,717,0,0.356973241,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31/08/2014,2014,3,8,1,31,21109811,26659920,3312008,400456,31656134,19785657,2408661,0,4347752,2569158,55878,209969,87531,2366274.16,160691.3,706694.09,5187.32,144097.56,225140.84,19381.12,0,249612.89,401789.35,86190784.65,84.6,3.536,717,0,0.359990454,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
07/09/2014,2014,3,8,2,32,5965633,6255666,3215276,461272,12367053,5628842,1526423,0,3946028,2720081,48909,211812,133999,551660.91,54611.44,420740.17,3202,160774.8,112061.13,19037.84,0,156145.21,306469.2,56120616.39,84.6,3.534,717,0,0.344503544,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14/09/2014,2014,3,8,3,33,10034343,4232000,1365872,497614,9137332,5154671,1578405,0,5218305,1825256,28031,223476,83000,1249748.19,37601.75,181439.02,1710.53,128558.88,169156.16,26129.36,650.53,368607.31,354210.28,125634433.3,84.6,3.485,717,0,0.357570827,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21/09/2014,2014,3,8,4,34,12764686,15474013,2024228,270547,20203293,7141152,1562746,0,8085311,3404726,49211,210054,142684,1200840.95,72652.65,260108.46,1880.89,77428.05,193112.18,28991.38,1138.42,178897.74,199757.92,110756935.7,84.6,3.432,717,0,0.351437615,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28/09/2014,2014,3,8,5,35,11745748,7490000,1715439,294330,1702373,6602727,1072990,0,4540636,1616276,33132,125017,84649,679543.45,62239.3,205079.73,2264.57,22725.67,156913.77,9348.85,1628.94,255042.36,214170,116192534.8,84.6,3.434,717,0,0.350167148,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
05/10/2014,2014,3,9,1,36,1745214,22230560,1840733,849692,15310836,10303035,582878,0,2477379,2968828,31867,243380,95469,597511.18,91521.07,446360.8,3363.18,172517.15,202935.22,9444.96,1500.06,218050.84,281419.21,129263590.2,86.9,3.382,717.5714286,0,0.35636804,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
